cz,czname,state_id,pop2000,s_rank,e_rank_b,prob_p1_k5,bowl90,mergebowlingalleys,bowl_per_capita
32000,Houston,Texas,4504013,.32517001,42.759251,.09273798,45,matched (3),.0999109
32100,Beaumont,Texas,497770,.34323999,43.286999,.094970569,5,matched (3),.100448
32201,Huntsville,Texas,191792,.3734,41.632999,.077342585,3,matched (3),.15641946
32301,San Angelo,Texas,113973,.33368,43.650002,.086386427,2,matched (3),.17548016
32304,Uvalde,Texas,35212,.35659,45.930752,.096843615,1,matched (3),.28399408
32401,Big Spring,Texas,54073,.35929,47.902252,.11444142,2,matched (3),.36987036
32403,Snyder,Texas,26918,.28327,50.061752,.15608919,1,matched (3),.37149861
32501,Abilene,Texas,191518,.32649001,45.112251,.10329199,4,matched (3),.20885766
32601,Wichita Falls,Texas,151524,.32756999,43.856251,.096604496,3,matched (3),.19798844
32602,Graham,Texas,28556,.37858,50.531502,.17593984,1,matched (3),.35018909
32701,Brownwood,Texas,58246,.33284,45.174,.10866373,1,matched (3),.17168561
32702,Stephenville,Texas,55256,.29282999,47.921749,.11419753,1,matched (3),.18097582
32801,Waco,Texas,281618,.39794001,40.033501,.067537434,3,matched (3),.10652728
32900,Killeen,Texas,330714,.33524999,40.486248,.077248268,5,matched (3),.15118803
33000,Fort Worth,Texas,1804370,.31979999,42.32,.091362856,18,matched (3),.099757813
33100,Dallas,Texas,3405666,.34689,40.35025,.071082465,22,matched (3),.064598233
33200,Paris,Texas,185835,.35444,41.428001,.076712325,2,matched (3),.10762236
33300,Tyler,Texas,434643,.34735999,42.884998,.095106505,4,matched (3),.092029549
33400,Longview,Texas,289849,.35657001,43.82325,.11419708,3,matched (3),.10350217
33500,Texarkana,Texas,235988,.37522,40.905502,.078893088,5,matched (3),.21187519
33601,Lawton,Oklahoma,171610,.31882,44.046501,.10488088,3,matched (3),.17481498
33602,Altus,Oklahoma,48010,.32594001,45.640503,.11214953,1,matched (3),.20828994
33700,Ardmore,Oklahoma,117982,.34869999,46.164497,.11078823,4,matched (3),.33903477
33801,Elk City,Oklahoma,60885,.35089999,50.9175,.18719889,4,matched (3),.65697628
33802,Chickasha,Oklahoma,75666,.37213999,45.362499,.11544628,3,matched (3),.39647928
33803,Oklahoma City,Oklahoma,1154246,.34232,42.16,.08207529,26,matched (3),.22525528
33901,Ada,Oklahoma,69207,.37797001,45.46125,.11672942,1,matched (3),.14449406
33902,Sherman,Texas,178371,.34445,41.589252,.088479809,2,matched (3),.11212585
34001,Hot Springs,Arkansas,210357,.36454999,40.13475,.070756733,4,matched (3),.19015293
34002,Idabel,Oklahoma,97397,.31690001,43.335499,.092278719,2,matched (3),.20534514
34201,Havre,Montana,25840,.39989999,43.025501,.0821485,2,matched (3),.77399379
34202,Shelby,Montana,24938,.42491001,40.383751,.047505938,3,matched (3),1.2029834
34203,Great Falls,Montana,95101,.25431001,47.074749,.096359745,7,matched (3),.73605955
34301,Cody,Wyoming,37247,.20135,52.658749,.14740369,2,matched (3),.53695601
34302,Worland,Wyoming,13171,.28959,50.44075,.13065326,1,matched (3),.75924379
34303,Riverton,Wyoming,35804,.33787999,46.435001,.12431843,3,matched (3),.83789521
34304,Sheridan,Wyoming,46306,.33171001,45.095753,.10449321,2,matched (3),.43190947
34308,Billings,Montana,152638,.25051999,47.975002,.13051917,9,matched (3),.58963037
34401,Dillon,Montana,9202,.12069,51.227253,.11688311,1,matched (3),1.0867202
34402,Bozeman,Montana,93985,.19199,47.366749,.12596899,6,matched (3),.63839972
34403,Helena,Montana,70150,.27162999,45.646748,.1197411,3,matched (3),.42765501
34404,Butte-Silver Bow,Montana,54033,.30048001,47.104,.089366518,5,matched (3),.92536044
34501,Bonners Ferry,Idaho,9871,.2089,46.202499,.099137932,1,matched (3),1.0130686
34503,Kalispell,Montana,111205,.23994,44.601498,.11084142,6,matched (3),.53954411
34504,Missoula,Montana,135756,.21591,45.63475,.10562731,6,matched (3),.44196942
34601,Gillette,Wyoming,46229,.21844,55.507004,.26418439,4,matched (3),.86525774
34602,Rawlins,Wyoming,15639,.25181001,49.417252,.19341564,1,matched (3),.63942707
34603,Casper,Wyoming,78585,.29280999,50.33625,.1662689,4,matched (3),.50900298
